filename,field,severity,message,current_value
gita-press-vedant-darshan-brahmasutra-sanskrit-hindi.pdf,publisher,info,Publisher not extracted,
Chakras.pdf,author,warning,Author not extracted,
Chakras.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
chakra-mahavijnan.pdf,publisher,info,Publisher not extracted,
Bajrang Baan.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Durga Chalisa.pdf,publisher,info,Publisher not extracted,
Ganesh Chalisa.pdf,publisher,info,Publisher not extracted,
Gayatri Chalisa.pdf,publisher,info,Publisher not extracted,
Hanuman Chalisa.pdf,publisher,info,Publisher not extracted,
Navgraha Chalisa.pdf,publisher,info,Publisher not extracted,
Santoshi Maa Chalisa.pdf,publisher,info,Publisher not extracted,
Sarasvati Chalisa.pdf,publisher,info,Publisher not extracted,
Shiv Chalisa.pdf,publisher,info,Publisher not extracted,
Sri Gajendra Moksha.pdf,publisher,info,Publisher not extracted,
Sri Krishna Chalisa.pdf,publisher,info,Publisher not extracted,
Sri Laxmi Chalisa.pdf,publisher,info,Publisher not extracted,
Sri Shani Dev Chalisa.pdf,publisher,info,Publisher not extracted,
Swar vigyan.pdf,publisher,info,Publisher not extracted,
hanumanchalisa_Marwadi_Sanskrit.pdf,author,warning,Author not extracted,
hanumanchalisa_Marwadi_Sanskrit.pdf,publisher,info,Publisher not extracted,
Chanakya Niti Darpan.pdf,author,warning,Author not extracted,
Chanakya Niti Darpan.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
3374.pdf,author,warning,Author not extracted,
3374.pdf,publisher,info,Publisher not extracted,
8_Hindi Bhasha evm Devnaga.pdf,publisher,info,Publisher not extracted,
Deskbook on Orthography of Devanagari Script (2)_compressed.pdf,author,warning,Author not extracted,
Deskbook on Orthography of Devanagari Script (2)_compressed.pdf,publisher,info,Publisher not extracted,
devanagari-lipi.pdf,publisher,info,Publisher not extracted,
ebharati-pdf-1674278317DhanurvedaSamhita-Sam-1958.pdf,publisher,info,Publisher not extracted,
durga-saptashati-hindi.pdf,author,warning,Author not extracted,
durga-saptashati-hindi.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
_कर्ण_से_जुडी_कुछ_रोचक_बातें_.pdf,author,warning,Author not extracted,
_कर्ण_से_जुडी_कुछ_रोचक_बातें_.pdf,publisher,info,Publisher not extracted,
instapdf.in-karva-chauth-vrat-katha-299.pdf,publisher,info,Publisher not extracted,
क्यों_है_ब्रह्मा_जी_का_पुरे_भारत.pdf,author,warning,Author not extracted,
क्यों_है_ब्रह्मा_जी_का_पुरे_भारत.pdf,publisher,info,Publisher not extracted,
